x,lambdaTime_1e-05,lambdaRate_1e-05,lambda
-1e+07,NaN,NaN,4.007e-100
-9.9805e+06,NaN,NaN,7.1505e-100
-9.9609e+06,NaN,NaN,1.4712e-99
-9.9414e+06,NaN,NaN,3.1953e-99
-9.9219e+06,NaN,NaN,7.0897e-99
-9.9023e+06,NaN,NaN,1.5864e-98
-9.8828e+06,NaN,NaN,3.5615e-98
-9.8633e+06,NaN,NaN,8.0055e-98
-9.8438e+06,NaN,NaN,1.8003e-97
-9.8242e+06,NaN,NaN,4.0488e-97
-9.8047e+06,NaN,NaN,9.1055e-97
-9.7852e+06,NaN,NaN,2.0476e-96
-9.7656e+06,NaN,NaN,4.6041e-96
-9.7461e+06,NaN,NaN,1.0351e-95
-9.7266e+06,NaN,NaN,2.327e-95
-9.707e+06,NaN,NaN,5.2307e-95
-9.6875e+06,NaN,NaN,1.1756e-94
-9.668e+06,NaN,NaN,2.6419e-94
-9.6484e+06,NaN,NaN,5.9364e-94
-9.6289e+06,NaN,NaN,1.3338e-93
-9.6094e+06,NaN,NaN,2.9963e-93
-9.5898e+06,NaN,NaN,6.7303e-93
-9.5703e+06,NaN,NaN,1.5116e-92
-9.5508e+06,NaN,NaN,3.3945e-92
-9.5313e+06,NaN,NaN,7.6222e-92
-9.5117e+06,NaN,NaN,1.7113e-91
-9.4922e+06,NaN,NaN,3.8417e-91
-9.4727e+06,NaN,NaN,8.6231e-91
-9.4531e+06,NaN,NaN,1.9353e-90
-9.4336e+06,NaN,NaN,4.343e-90
-9.4141e+06,NaN,NaN,9.7449e-90
-9.3945e+06,NaN,NaN,2.1863e-89
-9.375e+06,NaN,NaN,4.9045e-89
-9.3555e+06,NaN,NaN,1.1001e-88
-9.3359e+06,NaN,NaN,2.4671e-88
-9.3164e+06,NaN,NaN,5.5324e-88
-9.2969e+06,NaN,NaN,1.2405e-87
-9.2773e+06,NaN,NaN,2.7809e-87
-9.2578e+06,NaN,NaN,6.2338e-87
-9.2383e+06,NaN,NaN,1.3972e-86
-9.2188e+06,NaN,NaN,3.1312e-86
-9.1992e+06,NaN,NaN,7.0162e-86
-9.1797e+06,NaN,NaN,1.572e-85
-9.1602e+06,NaN,NaN,3.5215e-85
-9.1406e+06,NaN,NaN,7.8879e-85
-9.1211e+06,NaN,NaN,1.7666e-84
-9.1016e+06,NaN,NaN,3.956e-84
-9.082e+06,NaN,NaN,8.8576e-84
-9.0625e+06,NaN,NaN,1.983e-83
-9.043e+06,NaN,NaN,4.4389e-83
-9.0234e+06,NaN,NaN,9.9351e-83
-9.0039e+06,NaN,NaN,2.2234e-82
-8.9844e+06,NaN,NaN,4.975e-82
-8.9648e+06,NaN,NaN,1.1131e-81
-8.9453e+06,NaN,NaN,2.4899e-81
-8.9258e+06,NaN,NaN,5.5692e-81
-8.9063e+06,NaN,NaN,1.2455e-80
-8.8867e+06,NaN,NaN,2.7851e-80
-8.8672e+06,NaN,NaN,6.227e-80
-8.8477e+06,NaN,NaN,1.3921e-79
-8.8281e+06,NaN,NaN,3.1115e-79
-8.8086e+06,NaN,NaN,6.954e-79
-8.7891e+06,NaN,NaN,1.5539e-78
-8.7695e+06,NaN,NaN,3.472e-78
-8.75e+06,NaN,NaN,7.7564e-78
-8.7305e+06,NaN,NaN,1.7325e-77
-8.7109e+06,NaN,NaN,3.8694e-77
-8.6914e+06,NaN,NaN,8.6407e-77
-8.6719e+06,NaN,NaN,1.9293e-76
-8.6523e+06,NaN,NaN,4.307e-76
-8.6328e+06,NaN,NaN,9.6138e-76
-8.6133e+06,NaN,NaN,2.1456e-75
-8.5938e+06,NaN,NaN,4.788e-75
-8.5742e+06,NaN,NaN,1.0683e-74
-8.5547e+06,NaN,NaN,2.3832e-74
-8.5352e+06,NaN,NaN,5.3159e-74
-8.5156e+06,NaN,NaN,1.1856e-73
-8.4961e+06,NaN,NaN,2.6437e-73
-8.4766e+06,NaN,NaN,5.8944e-73
-8.457e+06,NaN,NaN,1.314e-72
-8.4375e+06,NaN,NaN,2.9288e-72
-8.418e+06,NaN,NaN,6.5272e-72
-8.3984e+06,NaN,NaN,1.4545e-71
-8.3789e+06,NaN,NaN,3.2405e-71
-8.3594e+06,NaN,NaN,7.2185e-71
-8.3398e+06,NaN,NaN,1.6078e-70
-8.3203e+06,NaN,NaN,3.5804e-70
-8.3008e+06,NaN,NaN,7.9723e-70
-8.2813e+06,NaN,NaN,1.7749e-69
-8.2617e+06,NaN,NaN,3.9507e-69
-8.2422e+06,NaN,NaN,8.7928e-69
-8.2227e+06,NaN,NaN,1.9566e-68
-8.2031e+06,NaN,NaN,4.3534e-68
-8.1836e+06,NaN,NaN,9.6844e-68
-8.1641e+06,NaN,NaN,2.154e-67
-8.1445e+06,NaN,NaN,4.7904e-67
-8.125e+06,NaN,NaN,1.0652e-66
-8.1055e+06,NaN,NaN,2.3681e-66
-8.0859e+06,NaN,NaN,5.2638e-66
-8.0664e+06,NaN,NaN,1.1699e-65
-8.0469e+06,NaN,NaN,2.5996e-65
-8.0273e+06,NaN,NaN,5.7758e-65
