x,lambdaTime_1e-05,lambdaRate_1e-05,lambda
-5e+06,NaN,NaN,1.1665e-43
-4.9805e+06,NaN,NaN,1.687e-43
-4.9609e+06,NaN,NaN,2.7745e-43
-4.9414e+06,NaN,NaN,4.8696e-43
-4.9219e+06,NaN,NaN,8.8129e-43
-4.9023e+06,NaN,NaN,1.6164e-42
-4.8828e+06,NaN,NaN,2.9808e-42
-4.8633e+06,NaN,NaN,5.5074e-42
-4.8438e+06,NaN,NaN,1.018e-41
-4.8242e+06,NaN,NaN,1.8814e-41
-4.8047e+06,NaN,NaN,3.4758e-41
-4.7852e+06,NaN,NaN,6.4177e-41
-4.7656e+06,NaN,NaN,1.1843e-40
-4.7461e+06,NaN,NaN,2.1843e-40
-4.7266e+06,NaN,NaN,4.026e-40
-4.707e+06,NaN,NaN,7.4164e-40
-4.6875e+06,NaN,NaN,1.3654e-39
-4.668e+06,NaN,NaN,2.5121e-39
-4.6484e+06,NaN,NaN,4.6191e-39
-4.6289e+06,NaN,NaN,8.4881e-39
-4.6094e+06,NaN,NaN,1.5588e-38
-4.5898e+06,NaN,NaN,2.861e-38
-4.5703e+06,NaN,NaN,5.2475e-38
-4.5508e+06,NaN,NaN,9.6188e-38
-4.5313e+06,NaN,NaN,1.762e-37
-4.5117e+06,NaN,NaN,3.2257e-37
-4.4922e+06,NaN,NaN,5.9016e-37
-4.4727e+06,NaN,NaN,1.079e-36
-4.4531e+06,NaN,NaN,1.9715e-36
-4.4336e+06,NaN,NaN,3.5999e-36
-4.4141e+06,NaN,NaN,6.5688e-36
-4.3945e+06,NaN,NaN,1.1979e-35
-4.375e+06,NaN,NaN,2.1829e-35
-4.3555e+06,NaN,NaN,3.9753e-35
-4.3359e+06,NaN,NaN,7.2345e-35
-4.3164e+06,NaN,NaN,1.3157e-34
-4.2969e+06,NaN,NaN,2.3911e-34
-4.2773e+06,NaN,NaN,4.3427e-34
-4.2578e+06,NaN,NaN,7.8815e-34
-4.2383e+06,NaN,NaN,1.4294e-33
-4.2188e+06,NaN,NaN,2.5906e-33
-4.1992e+06,NaN,NaN,4.6918e-33
-4.1797e+06,NaN,NaN,8.4912e-33
-4.1602e+06,NaN,NaN,1.5356e-32
-4.1406e+06,NaN,NaN,2.7752e-32
-4.1211e+06,NaN,NaN,5.0117e-32
-4.1016e+06,NaN,NaN,9.044e-32
-4.082e+06,NaN,NaN,1.6309e-31
-4.0625e+06,NaN,NaN,2.9387e-31
-4.043e+06,NaN,NaN,5.2913e-31
-4.0234e+06,NaN,NaN,9.5203e-31
-4.0039e+06,NaN,NaN,1.7116e-30
-3.9844e+06,NaN,NaN,3.075e-30
-3.9648e+06,NaN,NaN,5.5201e-30
-3.9453e+06,NaN,NaN,9.9017e-30
-3.9258e+06,NaN,NaN,1.7748e-29
-3.9063e+06,NaN,NaN,3.1785e-29
-3.8867e+06,NaN,NaN,5.6882e-29
-3.8672e+06,NaN,NaN,1.0171e-28
-3.8477e+06,NaN,NaN,1.8174e-28
-3.8281e+06,NaN,NaN,3.2446e-28
-3.8086e+06,NaN,NaN,5.7878e-28
-3.7891e+06,NaN,NaN,1.0316e-27
-3.7695e+06,NaN,NaN,1.8373e-27
-3.75e+06,NaN,NaN,3.2694e-27
-3.7305e+06,NaN,NaN,5.8131e-27
-3.7109e+06,NaN,NaN,1.0327e-26
-3.6914e+06,NaN,NaN,1.8331e-26
-3.6719e+06,NaN,NaN,3.251e-26
-3.6523e+06,NaN,NaN,5.7608e-26
