x,rhoTime_1e-05,rhoRate_1e-05,rho
-1e+07,NaN,NaN,1.1129e-106
-9.9805e+06,NaN,NaN,1.9862e-106
-9.9609e+06,NaN,NaN,4.087e-106
-9.9414e+06,NaN,NaN,8.8769e-106
-9.9219e+06,NaN,NaN,1.9697e-105
-9.9023e+06,NaN,NaN,4.4078e-105
-9.8828e+06,NaN,NaN,9.8963e-105
-9.8633e+06,NaN,NaN,2.2246e-104
-9.8438e+06,NaN,NaN,5.003e-104
-9.8242e+06,NaN,NaN,1.1253e-103
-9.8047e+06,NaN,NaN,2.5308e-103
-9.7852e+06,NaN,NaN,5.6916e-103
-9.7656e+06,NaN,NaN,1.2799e-102
-9.7461e+06,NaN,NaN,2.8777e-102
-9.7266e+06,NaN,NaN,6.4696e-102
-9.707e+06,NaN,NaN,1.4543e-101
-9.6875e+06,NaN,NaN,3.2689e-101
-9.668e+06,NaN,NaN,7.3465e-101
-9.6484e+06,NaN,NaN,1.6509e-100
-9.6289e+06,NaN,NaN,3.7093e-100
-9.6094e+06,NaN,NaN,8.3336e-100
-9.5898e+06,NaN,NaN,1.872e-99
-9.5703e+06,NaN,NaN,4.2048e-99
-9.5508e+06,NaN,NaN,9.4433e-99
-9.5313e+06,NaN,NaN,2.1206e-98
-9.5117e+06,NaN,NaN,4.7613e-98
-9.4922e+06,NaN,NaN,1.0689e-97
-9.4727e+06,NaN,NaN,2.3995e-97
-9.4531e+06,NaN,NaN,5.3858e-97
-9.4336e+06,NaN,NaN,1.2087e-96
-9.4141e+06,NaN,NaN,2.7123e-96
-9.3945e+06,NaN,NaN,6.0855e-96
-9.375e+06,NaN,NaN,1.3652e-95
-9.3555e+06,NaN,NaN,3.0624e-95
-9.3359e+06,NaN,NaN,6.8686e-95
-9.3164e+06,NaN,NaN,1.5404e-94
-9.2969e+06,NaN,NaN,3.454e-94
-9.2773e+06,NaN,NaN,7.744e-94
-9.2578e+06,NaN,NaN,1.736e-93
-9.2383e+06,NaN,NaN,3.8913e-93
-9.2188e+06,NaN,NaN,8.7211e-93
-9.1992e+06,NaN,NaN,1.9543e-92
-9.1797e+06,NaN,NaN,4.379e-92
-9.1602e+06,NaN,NaN,9.8105e-92
-9.1406e+06,NaN,NaN,2.1976e-91
-9.1211e+06,NaN,NaN,4.9222e-91
-9.1016e+06,NaN,NaN,1.1023e-90
-9.082e+06,NaN,NaN,2.4684e-90
-9.0625e+06,NaN,NaN,5.5265e-90
-9.043e+06,NaN,NaN,1.2372e-89
-9.0234e+06,NaN,NaN,2.7692e-89
-9.0039e+06,NaN,NaN,6.1977e-89
-8.9844e+06,NaN,NaN,1.3869e-88
-8.9648e+06,NaN,NaN,3.1032e-88
-8.9453e+06,NaN,NaN,6.9423e-88
-8.9258e+06,NaN,NaN,1.5529e-87
-8.9063e+06,NaN,NaN,3.4732e-87
-8.8867e+06,NaN,NaN,7.7672e-87
-8.8672e+06,NaN,NaN,1.7367e-86
-8.8477e+06,NaN,NaN,3.8828e-86
-8.8281e+06,NaN,NaN,8.6796e-86
-8.8086e+06,NaN,NaN,1.94e-85
-8.7891e+06,NaN,NaN,4.3354e-85
-8.7695e+06,NaN,NaN,9.6874e-85
-8.75e+06,NaN,NaN,2.1643e-84
-8.7305e+06,NaN,NaN,4.8348e-84
-8.7109e+06,NaN,NaN,1.0799e-83
-8.6914e+06,NaN,NaN,2.4117e-83
-8.6719e+06,NaN,NaN,5.3851e-83
-8.6523e+06,NaN,NaN,1.2023e-82
-8.6328e+06,NaN,NaN,2.6839e-82
-8.6133e+06,NaN,NaN,5.9906e-82
-8.5938e+06,NaN,NaN,1.3369e-81
-8.5742e+06,NaN,NaN,2.9832e-81
-8.5547e+06,NaN,NaN,6.6556e-81
-8.5352e+06,NaN,NaN,1.4847e-80
-8.5156e+06,NaN,NaN,3.3115e-80
