x,rhoTime_1e-05,rhoRate_1e-05,rho
-5e+06,NaN,NaN,1.7243e-39
-4.9805e+06,NaN,NaN,2.4963e-39
-4.9609e+06,NaN,NaN,4.1104e-39
-4.9414e+06,NaN,NaN,7.2222e-39
-4.9219e+06,NaN,NaN,1.3085e-38
-4.9023e+06,NaN,NaN,2.4024e-38
-4.8828e+06,NaN,NaN,4.4347e-38
-4.8633e+06,NaN,NaN,8.2019e-38
-4.8438e+06,NaN,NaN,1.5176e-37
-4.8242e+06,NaN,NaN,2.8076e-37
-4.8047e+06,NaN,NaN,5.192e-37
-4.7852e+06,NaN,NaN,9.5963e-37
-4.7656e+06,NaN,NaN,1.7727e-36
-4.7461e+06,NaN,NaN,3.2727e-36
-4.7266e+06,NaN,NaN,6.0384e-36
-4.707e+06,NaN,NaN,1.1135e-35
-4.6875e+06,NaN,NaN,2.052e-35
-4.668e+06,NaN,NaN,3.7792e-35
-4.6484e+06,NaN,NaN,6.9561e-35
-4.6289e+06,NaN,NaN,1.2796e-34
-4.6094e+06,NaN,NaN,2.3523e-34
-4.5898e+06,NaN,NaN,4.3217e-34
-4.5703e+06,NaN,NaN,7.9349e-34
-4.5508e+06,NaN,NaN,1.456e-33
-4.5313e+06,NaN,NaN,2.6699e-33
-4.5117e+06,NaN,NaN,4.8929e-33
-4.4922e+06,NaN,NaN,8.9609e-33
-4.4727e+06,NaN,NaN,1.64e-32
-4.4531e+06,NaN,NaN,2.9997e-32
-4.4336e+06,NaN,NaN,5.483e-32
-4.4141e+06,NaN,NaN,1.0016e-31
-4.3945e+06,NaN,NaN,1.8283e-31
-4.375e+06,NaN,NaN,3.3352e-31
-4.3555e+06,NaN,NaN,6.0801e-31
-4.3359e+06,NaN,NaN,1.1077e-30
-4.3164e+06,NaN,NaN,2.0166e-30
-4.2969e+06,NaN,NaN,3.6688e-30
-4.2773e+06,NaN,NaN,6.6701e-30
-4.2578e+06,NaN,NaN,1.2118e-29
-4.2383e+06,NaN,NaN,2.2001e-29
-4.2188e+06,NaN,NaN,3.9916e-29
-4.1992e+06,NaN,NaN,7.2368e-29
-4.1797e+06,NaN,NaN,1.3111e-28
-4.1602e+06,NaN,NaN,2.3737e-28
-4.1406e+06,NaN,NaN,4.2942e-28
-4.1211e+06,NaN,NaN,7.7632e-28
-4.1016e+06,NaN,NaN,1.4024e-27
-4.082e+06,NaN,NaN,2.5316e-27
-4.0625e+06,NaN,NaN,4.5667e-27
-4.043e+06,NaN,NaN,8.2315e-27
-4.0234e+06,NaN,NaN,1.4826e-26
-4.0039e+06,NaN,NaN,2.6685e-26
-3.9844e+06,NaN,NaN,4.7991e-26
-3.9648e+06,NaN,NaN,8.6243e-26
-3.9453e+06,NaN,NaN,1.5487e-25
-3.9258e+06,NaN,NaN,2.7788e-25
-3.9063e+06,NaN,NaN,4.9821e-25
-3.8867e+06,NaN,NaN,8.9255e-25
-3.8672e+06,NaN,NaN,1.5977e-24
-3.8477e+06,NaN,NaN,2.8578e-24
-3.8281e+06,NaN,NaN,5.1076e-24
-3.8086e+06,NaN,NaN,9.1212e-24
-3.7891e+06,NaN,NaN,1.6275e-23
-3.7695e+06,NaN,NaN,2.9017e-23
-3.75e+06,NaN,NaN,5.1691e-23
-3.7305e+06,NaN,NaN,9.2007e-23
-3.7109e+06,NaN,NaN,1.6363e-22
-3.6914e+06,NaN,NaN,2.9076e-22
-3.6719e+06,NaN,NaN,5.1623e-22
-3.6523e+06,NaN,NaN,9.1576e-22
-3.6328e+06,NaN,NaN,1.6231e-21
-3.6133e+06,NaN,NaN,2.8742e-21
-3.5938e+06,NaN,NaN,5.0854e-21
-3.5742e+06,NaN,NaN,8.9896e-21
-3.5547e+06,NaN,NaN,1.5877e-20
-3.5352e+06,NaN,NaN,2.8017e-20
-3.5156e+06,NaN,NaN,4.9394e-20
-3.4961e+06,NaN,NaN,8.7001e-20
-3.4766e+06,NaN,NaN,1.531e-19
-3.457e+06,NaN,NaN,2.6918e-19
-3.4375e+06,NaN,NaN,4.7281e-19
-3.418e+06,NaN,NaN,8.2971e-19
-3.3984e+06,NaN,NaN,1.4546e-18
-3.3789e+06,NaN,NaN,2.5478e-18
-3.3594e+06,NaN,NaN,4.4583e-18
-3.3398e+06,NaN,NaN,7.7936e-18
-3.3203e+06,NaN,NaN,1.3611e-17
-3.3008e+06,NaN,NaN,2.3746e-17
-3.2813e+06,NaN,NaN,4.1389e-17
-3.2617e+06,NaN,NaN,7.2065e-17
-3.2422e+06,NaN,NaN,1.2535e-16
-3.2227e+06,NaN,NaN,2.1781e-16
-3.2031e+06,NaN,NaN,3.7809e-16
