x,zetaTime_1e-05,zetaRate_1e-05,zeta
-1e+07,NaN,NaN,2.9121e-103
-9.9805e+06,NaN,NaN,5.2493e-103
-9.9609e+06,NaN,NaN,1.091e-102
-9.9414e+06,NaN,NaN,2.3922e-102
-9.9219e+06,NaN,NaN,5.3563e-102
-9.9023e+06,NaN,NaN,1.2093e-101
-9.8828e+06,NaN,NaN,2.7391e-101
-9.8633e+06,NaN,NaN,6.2119e-101
-9.8438e+06,NaN,NaN,1.4093e-100
-9.8242e+06,NaN,NaN,3.1978e-100
-9.8047e+06,NaN,NaN,7.2558e-100
-9.7852e+06,NaN,NaN,1.6462e-99
-9.7656e+06,NaN,NaN,3.7347e-99
-9.7461e+06,NaN,NaN,8.4717e-99
-9.7266e+06,NaN,NaN,1.9215e-98
-9.707e+06,NaN,NaN,4.3579e-98
-9.6875e+06,NaN,NaN,9.8824e-98
-9.668e+06,NaN,NaN,2.2408e-97
-9.6484e+06,NaN,NaN,5.0804e-97
-9.6289e+06,NaN,NaN,1.1517e-96
-9.6094e+06,NaN,NaN,2.6107e-96
-9.5898e+06,NaN,NaN,5.9171e-96
-9.5703e+06,NaN,NaN,1.341e-95
-9.5508e+06,NaN,NaN,3.0386e-95
-9.5313e+06,NaN,NaN,6.8849e-95
-9.5117e+06,NaN,NaN,1.5598e-94
-9.4922e+06,NaN,NaN,3.5334e-94
-9.4727e+06,NaN,NaN,8.0033e-94
-9.4531e+06,NaN,NaN,1.8126e-93
-9.4336e+06,NaN,NaN,4.1047e-93
-9.4141e+06,NaN,NaN,9.2942e-93
-9.3945e+06,NaN,NaN,2.1043e-92
-9.375e+06,NaN,NaN,4.7636e-92
-9.3555e+06,NaN,NaN,1.0783e-91
-9.3359e+06,NaN,NaN,2.4404e-91
-9.3164e+06,NaN,NaN,5.5228e-91
-9.2969e+06,NaN,NaN,1.2497e-90
-9.2773e+06,NaN,NaN,2.8275e-90
-9.2578e+06,NaN,NaN,6.3967e-90
-9.2383e+06,NaN,NaN,1.4469e-89
-9.2188e+06,NaN,NaN,3.2727e-89
