x,zetaTime_1e-05,zetaRate_1e-05,zeta
-5e+06,NaN,NaN,1.1156e-46
-4.9805e+06,NaN,NaN,1.6216e-46
-4.9609e+06,NaN,NaN,2.6823e-46
-4.9414e+06,NaN,NaN,4.7339e-46
-4.9219e+06,NaN,NaN,8.6128e-46
-4.9023e+06,NaN,NaN,1.5878e-45
-4.8828e+06,NaN,NaN,2.9428e-45
-4.8633e+06,NaN,NaN,5.4645e-45
-4.8438e+06,NaN,NaN,1.0151e-44
-4.8242e+06,NaN,NaN,1.8855e-44
-4.8047e+06,NaN,NaN,3.5007e-44
-4.7852e+06,NaN,NaN,6.4961e-44
-4.7656e+06,NaN,NaN,1.2048e-43
-4.7461e+06,NaN,NaN,2.2332e-43
-4.7266e+06,NaN,NaN,4.1369e-43
-4.707e+06,NaN,NaN,7.6591e-43
-4.6875e+06,NaN,NaN,1.4172e-42
-4.668e+06,NaN,NaN,2.6206e-42
-4.6484e+06,NaN,NaN,4.843e-42
-4.6289e+06,NaN,NaN,8.9448e-42
-4.6094e+06,NaN,NaN,1.651e-41
-4.5898e+06,NaN,NaN,3.0456e-41
-4.5703e+06,NaN,NaN,5.6148e-41
-4.5508e+06,NaN,NaN,1.0345e-40
-4.5313e+06,NaN,NaN,1.9047e-40
-4.5117e+06,NaN,NaN,3.5048e-40
-4.4922e+06,NaN,NaN,6.4451e-40
-4.4727e+06,NaN,NaN,1.1844e-39
-4.4531e+06,NaN,NaN,2.1753e-39
-4.4336e+06,NaN,NaN,3.9925e-39
-4.4141e+06,NaN,NaN,7.3231e-39
-4.3945e+06,NaN,NaN,1.3423e-38
-4.375e+06,NaN,NaN,2.4588e-38
-4.3555e+06,NaN,NaN,4.5011e-38
-4.3359e+06,NaN,NaN,8.2342e-38
-4.3164e+06,NaN,NaN,1.5053e-37
-4.2969e+06,NaN,NaN,2.7501e-37
-4.2773e+06,NaN,NaN,5.0208e-37
-4.2578e+06,NaN,NaN,9.16e-37
-4.2383e+06,NaN,NaN,1.67e-36
-4.2188e+06,NaN,NaN,3.0427e-36
-4.1992e+06,NaN,NaN,5.5396e-36
-4.1797e+06,NaN,NaN,1.0079e-35
-4.1602e+06,NaN,NaN,1.8324e-35
-4.1406e+06,NaN,NaN,3.3291e-35
-4.1211e+06,NaN,NaN,6.0439e-35
-4.1016e+06,NaN,NaN,1.0965e-34
-4.082e+06,NaN,NaN,1.9878e-34
-4.0625e+06,NaN,NaN,3.6011e-34
-4.043e+06,NaN,NaN,6.5188e-34
-4.0234e+06,NaN,NaN,1.1792e-33
-4.0039e+06,NaN,NaN,2.1314e-33
-3.9844e+06,NaN,NaN,3.8498e-33
-3.9648e+06,NaN,NaN,6.9483e-33
-3.9453e+06,NaN,NaN,1.2531e-32
-3.9258e+06,NaN,NaN,2.2582e-32
-3.9063e+06,NaN,NaN,4.0665e-32
-3.8867e+06,NaN,NaN,7.3169e-32
-3.8672e+06,NaN,NaN,1.3155e-31
-3.8477e+06,NaN,NaN,2.3633e-31
-3.8281e+06,NaN,NaN,4.2424e-31
-3.8086e+06,NaN,NaN,7.6094e-31
-3.7891e+06,NaN,NaN,1.3638e-30
-3.7695e+06,NaN,NaN,2.4422e-30
-3.75e+06,NaN,NaN,4.3699e-30
-3.7305e+06,NaN,NaN,7.8128e-30
-3.7109e+06,NaN,NaN,1.3957e-29
-3.6914e+06,NaN,NaN,2.4911e-29
-3.6719e+06,NaN,NaN,4.4426e-29
-3.6523e+06,NaN,NaN,7.9163e-29
-3.6328e+06,NaN,NaN,1.4094e-28
-3.6133e+06,NaN,NaN,2.5071e-28
-3.5938e+06,NaN,NaN,4.456e-28
-3.5742e+06,NaN,NaN,7.9129e-28
-3.5547e+06,NaN,NaN,1.4039e-27
-3.5352e+06,NaN,NaN,2.4887e-27
-3.5156e+06,NaN,NaN,4.4077e-27
-3.4961e+06,NaN,NaN,7.7995e-27
-3.4766e+06,NaN,NaN,1.3789e-26
-3.457e+06,NaN,NaN,2.4355e-26
-3.4375e+06,NaN,NaN,4.2979e-26
-3.418e+06,NaN,NaN,7.5775e-26
-3.3984e+06,NaN,NaN,1.3347e-25
-3.3789e+06,NaN,NaN,2.3488e-25
-3.3594e+06,NaN,NaN,4.1294e-25
-3.3398e+06,NaN,NaN,7.2529e-25
-3.3203e+06,NaN,NaN,1.2727e-24
-3.3008e+06,NaN,NaN,2.2311e-24
-3.2813e+06,NaN,NaN,3.9074e-24
-3.2617e+06,NaN,NaN,6.8364e-24
-3.2422e+06,NaN,NaN,1.1949e-23
-3.2227e+06,NaN,NaN,2.0865e-23
-3.2031e+06,NaN,NaN,3.6396e-23
-3.1836e+06,NaN,NaN,6.3422e-23
-3.1641e+06,NaN,NaN,1.1041e-22
-3.1445e+06,NaN,NaN,1.92e-22
-3.125e+06,NaN,NaN,3.3353e-22
-3.1055e+06,NaN,NaN,5.788e-22
-3.0859e+06,NaN,NaN,1.0034e-21
-3.0664e+06,NaN,NaN,1.7375e-21
-3.0469e+06,NaN,NaN,3.0055e-21
-3.0273e+06,NaN,NaN,5.1933e-21
-3.0078e+06,NaN,NaN,8.9637e-21
-2.9883e+06,NaN,NaN,1.5454e-20
-2.9688e+06,NaN,NaN,2.6615e-20
-2.9492e+06,NaN,NaN,4.5785e-20
-2.9297e+06,NaN,NaN,7.8671e-20
-2.9102e+06,NaN,NaN,1.3502e-19
-2.8906e+06,NaN,NaN,2.3148e-19
-2.8711e+06,NaN,NaN,3.9636e-19
-2.8516e+06,NaN,NaN,6.7789e-19
-2.832e+06,NaN,NaN,1.158e-18
-2.8125e+06,NaN,NaN,1.9758e-18
-2.793e+06,NaN,NaN,3.3671e-18
-2.7734e+06,NaN,NaN,5.7309e-18
-2.7539e+06,NaN,NaN,9.7423e-18
-2.7344e+06,NaN,NaN,1.6541e-17
-2.7148e+06,NaN,NaN,2.8048e-17
-2.6953e+06,NaN,NaN,4.75e-17
-2.6758e+06,NaN,NaN,8.0338e-17
-2.6563e+06,NaN,NaN,1.357e-16
-2.6367e+06,NaN,NaN,2.2892e-16
-2.6172e+06,NaN,NaN,3.8567e-16
-2.5977e+06,NaN,NaN,6.4887e-16
-2.5781e+06,NaN,NaN,1.0902e-15
-2.5586e+06,NaN,NaN,1.8292e-15
-2.5391e+06,NaN,NaN,3.065e-15
-2.5195e+06,NaN,NaN,5.1285e-15
-2.5e+06,NaN,NaN,8.569e-15
-2.4805e+06,NaN,NaN,1.4297e-14
-2.4609e+06,NaN,NaN,2.3821e-14
-2.4414e+06,NaN,NaN,3.9629e-14
-2.4219e+06,NaN,NaN,6.5833e-14
-2.4023e+06,NaN,NaN,1.092e-13
-2.3828e+06,NaN,NaN,1.8086e-13
-2.3633e+06,NaN,NaN,2.9909e-13
-2.3438e+06,NaN,NaN,4.9385e-13
-2.3242e+06,NaN,NaN,8.1417e-13
-2.3047e+06,NaN,NaN,1.3401e-12
-2.2852e+06,NaN,NaN,2.2023e-12
-2.2656e+06,NaN,NaN,3.6134e-12
-2.2461e+06,NaN,NaN,5.9189e-12
-2.2266e+06,NaN,NaN,9.6793e-12
-2.207e+06,NaN,NaN,1.5802e-11
-2.1875e+06,NaN,NaN,2.5755e-11
-2.168e+06,NaN,NaN,4.1903e-11
-2.1484e+06,NaN,NaN,6.8057e-11
-2.1289e+06,NaN,NaN,1.1034e-10
-2.1094e+06,NaN,NaN,1.7858e-10
-2.0898e+06,NaN,NaN,2.8848e-10
-2.0703e+06,NaN,NaN,4.6517e-10
-2.0508e+06,NaN,NaN,7.4867e-10
-2.0313e+06,NaN,NaN,1.2027e-09
-2.0117e+06,NaN,NaN,1.9282e-09
-1.9922e+06,NaN,NaN,3.0855e-09
-1.9727e+06,NaN,NaN,4.9275e-09
-1.9531e+06,NaN,NaN,7.8531e-09
-1.9336e+06,NaN,NaN,1.249e-08
-1.9141e+06,NaN,NaN,1.9823e-08
-1.8945e+06,NaN,NaN,3.1395e-08
-1.875e+06,NaN,NaN,4.9614e-08
-1.8555e+06,NaN,NaN,7.8232e-08
-1.8359e+06,NaN,NaN,1.2308e-07
-1.8164e+06,NaN,NaN,1.9318e-07
-1.7969e+06,NaN,NaN,3.025e-07
-1.7773e+06,NaN,NaN,4.7255e-07
-1.7578e+06,NaN,NaN,7.3635e-07
-1.7383e+06,NaN,NaN,1.1445e-06
-1.7188e+06,NaN,NaN,1.7743e-06
-1.6992e+06,NaN,NaN,2.7433e-06
-1.6797e+06,NaN,NaN,4.2297e-06
-1.6602e+06,NaN,NaN,6.503e-06
-1.6406e+06,NaN,NaN,9.9689e-06
-1.6211e+06,NaN,NaN,1.5235e-05
-1.6016e+06,NaN,NaN,2.3211e-05
-1.582e+06,NaN,NaN,3.5245e-05
-1.5625e+06,NaN,NaN,5.3335e-05
-1.543e+06,NaN,NaN,8.0421e-05
-1.5234e+06,NaN,NaN,0.00012081
-1.5039e+06,NaN,NaN,0.00018075
-1.4844e+06,NaN,NaN,0.0002693
-1.4648e+06,NaN,NaN,0.00039944
-1.4453e+06,NaN,NaN,0.00058964
-1.4258e+06,NaN,NaN,0.00086594
-1.4063e+06,NaN,NaN,0.0012647
-1.3867e+06,NaN,NaN,0.0018359
-1.3672e+06,NaN,NaN,0.0026477
-1.3477e+06,NaN,NaN,0.003791
-1.3281e+06,NaN,NaN,0.0053849
-1.3086e+06,NaN,NaN,0.0075818
-1.2891e+06,NaN,NaN,0.010571
-1.2695e+06,NaN,NaN,0.014579
-1.25e+06,NaN,NaN,0.019863
-1.2305e+06,NaN,NaN,0.026703
-1.2109e+06,NaN,NaN,0.03537
-1.1914e+06,NaN,NaN,0.046101
-1.1719e+06,NaN,NaN,0.059052
-1.1523e+06,NaN,NaN,0.074263
