x,lambdaTime_1e-05,lambdaRate_1e-05,lambda
-1e+07,NaN,NaN,1.0954e-19
-9.9805e+06,NaN,NaN,1.8343e-19
-9.9609e+06,NaN,NaN,3.5354e-19
-9.9414e+06,NaN,NaN,7.2192e-19
-9.9219e+06,NaN,NaN,1.5095e-18
-9.9023e+06,NaN,NaN,3.1861e-18
-9.8828e+06,NaN,NaN,6.749e-18
-9.8633e+06,NaN,NaN,1.4313e-17
-9.8438e+06,NaN,NaN,3.0359e-17
-9.8242e+06,NaN,NaN,6.4383e-17
-9.8047e+06,NaN,NaN,1.3649e-16
-9.7852e+06,NaN,NaN,2.8923e-16
-9.7656e+06,NaN,NaN,6.1261e-16
-9.7461e+06,NaN,NaN,1.2969e-15
-9.7266e+06,NaN,NaN,2.7443e-15
-9.707e+06,NaN,NaN,5.8038e-15
-9.6875e+06,NaN,NaN,1.2268e-14
-9.668e+06,NaN,NaN,2.5916e-14
-9.6484e+06,NaN,NaN,5.4718e-14
-9.6289e+06,NaN,NaN,1.1546e-13
-9.6094e+06,NaN,NaN,2.4349e-13
-9.5898e+06,NaN,NaN,5.1315e-13
-9.5703e+06,NaN,NaN,1.0807e-12
-9.5508e+06,NaN,NaN,2.2746e-12
-9.5313e+06,NaN,NaN,4.7839e-12
-9.5117e+06,NaN,NaN,1.0054e-11
-9.4922e+06,NaN,NaN,2.1114e-11
-9.4727e+06,NaN,NaN,4.4306e-11
-9.4531e+06,NaN,NaN,9.2894e-11
-9.4336e+06,NaN,NaN,1.946e-10
-9.4141e+06,NaN,NaN,4.0728e-10
-9.3945e+06,NaN,NaN,8.5159e-10
-9.375e+06,NaN,NaN,1.7788e-09
-9.3555e+06,NaN,NaN,3.7118e-09
-9.3359e+06,NaN,NaN,7.7367e-09
-9.3164e+06,NaN,NaN,1.6107e-08
-9.2969e+06,NaN,NaN,3.3492e-08
-9.2773e+06,NaN,NaN,6.9549e-08
-9.2578e+06,NaN,NaN,1.4422e-07
-9.2383e+06,NaN,NaN,2.9863e-07
-9.2188e+06,NaN,NaN,6.1735e-07
-9.1992e+06,NaN,NaN,1.2741e-06
-9.1797e+06,NaN,NaN,2.6245e-06
-9.1602e+06,NaN,NaN,5.3955e-06
-9.1406e+06,NaN,NaN,1.1068e-05
-9.1211e+06,NaN,NaN,2.2652e-05
-9.1016e+06,NaN,NaN,4.6237e-05
-9.082e+06,NaN,NaN,9.4112e-05
-9.0625e+06,NaN,NaN,0.00019095
-9.043e+06,NaN,NaN,0.00038602
-9.0234e+06,NaN,NaN,0.00077716
-9.0039e+06,NaN,NaN,0.001557
-8.9844e+06,NaN,NaN,0.0031009
-8.9648e+06,NaN,NaN,0.0061287
-8.9453e+06,NaN,NaN,0.011987
-8.9258e+06,NaN,NaN,0.023094
-8.9063e+06,NaN,NaN,0.043471
-8.8867e+06,NaN,NaN,0.078882
-8.8672e+06,NaN,NaN,0.13521
-8.8477e+06,NaN,NaN,0.21335
-8.8281e+06,NaN,NaN,0.30281
-8.8086e+06,NaN,NaN,0.38362
-8.7891e+06,NaN,NaN,0.44002
