x,lambdaTime_1e-05,lambdaRate_1e-05,lambda
-1e+07,NaN,NaN,7.0896e-20
-9.9805e+06,NaN,NaN,1.1868e-19
-9.9609e+06,NaN,NaN,2.2865e-19
-9.9414e+06,NaN,NaN,4.6671e-19
-9.9219e+06,NaN,NaN,9.7552e-19
-9.9023e+06,NaN,NaN,2.0583e-18
-9.8828e+06,NaN,NaN,4.3584e-18
-9.8633e+06,NaN,NaN,9.2395e-18
-9.8438e+06,NaN,NaN,1.9591e-17
-9.8242e+06,NaN,NaN,4.153e-17
-9.8047e+06,NaN,NaN,8.8008e-17
-9.7852e+06,NaN,NaN,1.8642e-16
-9.7656e+06,NaN,NaN,3.9468e-16
-9.7461e+06,NaN,NaN,8.352e-16
-9.7266e+06,NaN,NaN,1.7665e-15
-9.707e+06,NaN,NaN,3.7342e-15
-9.6875e+06,NaN,NaN,7.8894e-15
-9.668e+06,NaN,NaN,1.6659e-14
-9.6484e+06,NaN,NaN,3.5155e-14
-9.6289e+06,NaN,NaN,7.4143e-14
-9.6094e+06,NaN,NaN,1.5627e-13
-9.5898e+06,NaN,NaN,3.2916e-13
-9.5703e+06,NaN,NaN,6.9285e-13
-9.5508e+06,NaN,NaN,1.4574e-12
-9.5313e+06,NaN,NaN,3.0633e-12
-9.5117e+06,NaN,NaN,6.4338e-12
-9.4922e+06,NaN,NaN,1.3502e-11
-9.4727e+06,NaN,NaN,2.8314e-11
-9.4531e+06,NaN,NaN,5.9321e-11
-9.4336e+06,NaN,NaN,1.2417e-10
-9.4141e+06,NaN,NaN,2.5968e-10
-9.3945e+06,NaN,NaN,5.4253e-10
-9.375e+06,NaN,NaN,1.1323e-09
-9.3555e+06,NaN,NaN,2.3605e-09
-9.3359e+06,NaN,NaN,4.9154e-09
-9.3164e+06,NaN,NaN,1.0223e-08
-9.2969e+06,NaN,NaN,2.1234e-08
-9.2773e+06,NaN,NaN,4.4044e-08
-9.2578e+06,NaN,NaN,9.1221e-08
-9.2383e+06,NaN,NaN,1.8863e-07
-9.2188e+06,NaN,NaN,3.8941e-07
-9.1992e+06,NaN,NaN,8.0244e-07
-9.1797e+06,NaN,NaN,1.6503e-06
-9.1602e+06,NaN,NaN,3.3867e-06
-9.1406e+06,NaN,NaN,6.9341e-06
-9.1211e+06,NaN,NaN,1.4161e-05
-9.1016e+06,NaN,NaN,2.884e-05
-9.082e+06,NaN,NaN,5.8552e-05
-9.0625e+06,NaN,NaN,0.00011847
-9.043e+06,NaN,NaN,0.00023875
-9.0234e+06,NaN,NaN,0.00047903
-9.0039e+06,NaN,NaN,0.00095612
-8.9844e+06,NaN,NaN,0.0018965
-8.9648e+06,NaN,NaN,0.0037331
-8.9453e+06,NaN,NaN,0.0072748
-8.9258e+06,NaN,NaN,0.013983
-8.9063e+06,NaN,NaN,0.026349
-8.8867e+06,NaN,NaN,0.048172
-8.8672e+06,NaN,NaN,0.05725
-8.8477e+06,NaN,NaN,0.06668
-8.8281e+06,NaN,NaN,0.074916
-8.8086e+06,NaN,NaN,0.085975
-8.7891e+06,NaN,NaN,0.095842
