x,rhoTime_1e-05,rhoRate_1e-05,rho
-1e+07,NaN,NaN,1.2766e-62
-9.9805e+06,NaN,NaN,2.1625e-62
-9.9609e+06,NaN,NaN,4.2188e-62
-9.9414e+06,NaN,NaN,8.7157e-62
-9.9219e+06,NaN,NaN,1.8433e-61
-9.9023e+06,NaN,NaN,3.9353e-61
-9.8828e+06,NaN,NaN,8.4326e-61
-9.8633e+06,NaN,NaN,1.8094e-60
-9.8438e+06,NaN,NaN,3.8843e-60
-9.8242e+06,NaN,NaN,8.339e-60
-9.8047e+06,NaN,NaN,1.7901e-59
-9.7852e+06,NaN,NaN,3.8424e-59
-9.7656e+06,NaN,NaN,8.246e-59
-9.7461e+06,NaN,NaN,1.7694e-58
-9.7266e+06,NaN,NaN,3.7959e-58
-9.707e+06,NaN,NaN,8.1421e-58
-9.6875e+06,NaN,NaN,1.7462e-57
-9.668e+06,NaN,NaN,3.7442e-57
-9.6484e+06,NaN,NaN,8.0269e-57
-9.6289e+06,NaN,NaN,1.7205e-56
-9.6094e+06,NaN,NaN,3.6872e-56
-9.5898e+06,NaN,NaN,7.9006e-56
-9.5703e+06,NaN,NaN,1.6925e-55
-9.5508e+06,NaN,NaN,3.6253e-55
-9.5313e+06,NaN,NaN,7.7637e-55
-9.5117e+06,NaN,NaN,1.6623e-54
-9.4922e+06,NaN,NaN,3.5586e-54
-9.4727e+06,NaN,NaN,7.6166e-54
-9.4531e+06,NaN,NaN,1.6299e-53
-9.4336e+06,NaN,NaN,3.4873e-53
-9.4141e+06,NaN,NaN,7.4599e-53
-9.3945e+06,NaN,NaN,1.5955e-52
-9.375e+06,NaN,NaN,3.4117e-52
-9.3555e+06,NaN,NaN,7.294e-52
-9.3359e+06,NaN,NaN,1.5591e-51
-9.3164e+06,NaN,NaN,3.332e-51
-9.2969e+06,NaN,NaN,7.1196e-51
-9.2773e+06,NaN,NaN,1.521e-50
-9.2578e+06,NaN,NaN,3.2486e-50
-9.2383e+06,NaN,NaN,6.9373e-50
-9.2188e+06,NaN,NaN,1.4812e-49
-9.1992e+06,NaN,NaN,3.1617e-49
-9.1797e+06,NaN,NaN,6.7478e-49
-9.1602e+06,NaN,NaN,1.4398e-48
-9.1406e+06,NaN,NaN,3.0717e-48
-9.1211e+06,NaN,NaN,6.5516e-48
-9.1016e+06,NaN,NaN,1.3971e-47
-9.082e+06,NaN,NaN,2.9788e-47
-9.0625e+06,NaN,NaN,6.3496e-47
-9.043e+06,NaN,NaN,1.3532e-46
-9.0234e+06,NaN,NaN,2.8834e-46
-9.0039e+06,NaN,NaN,6.1425e-46
-8.9844e+06,NaN,NaN,1.3083e-45
-8.9648e+06,NaN,NaN,2.7859e-45
-8.9453e+06,NaN,NaN,5.931e-45
-8.9258e+06,NaN,NaN,1.2624e-44
-8.9063e+06,NaN,NaN,2.6865e-44
-8.8867e+06,NaN,NaN,5.7158e-44
-8.8672e+06,NaN,NaN,1.2158e-43
-8.8477e+06,NaN,NaN,2.5857e-43
-8.8281e+06,NaN,NaN,5.4978e-43
-8.8086e+06,NaN,NaN,1.1687e-42
-8.7891e+06,NaN,NaN,2.4838e-42
-8.7695e+06,NaN,NaN,5.2776e-42
-8.75e+06,NaN,NaN,1.1211e-41
-8.7305e+06,NaN,NaN,2.3811e-41
-8.7109e+06,NaN,NaN,5.0561e-41
-8.6914e+06,NaN,NaN,1.0733e-40
-8.6719e+06,NaN,NaN,2.2781e-40
-8.6523e+06,NaN,NaN,4.8339e-40
-8.6328e+06,NaN,NaN,1.0255e-39
-8.6133e+06,NaN,NaN,2.175e-39
-8.5938e+06,NaN,NaN,4.6118e-39
-8.5742e+06,NaN,NaN,9.7768e-39
-8.5547e+06,NaN,NaN,2.0721e-38
-8.5352e+06,NaN,NaN,4.3906e-38
-8.5156e+06,NaN,NaN,9.3011e-38
-8.4961e+06,NaN,NaN,1.9699e-37
