x,rhoTime_1e-05,rhoRate_1e-05,rho
-5e+06,NaN,NaN,3.9321e-36
-4.9805e+06,NaN,NaN,5.924e-36
-4.9609e+06,NaN,NaN,1.0198e-35
-4.9414e+06,NaN,NaN,1.8703e-35
-4.9219e+06,NaN,NaN,3.5298e-35
-4.9023e+06,NaN,NaN,6.7426e-35
-4.8828e+06,NaN,NaN,1.2941e-34
-4.8633e+06,NaN,NaN,2.4879e-34
-4.8438e+06,NaN,NaN,4.7845e-34
-4.8242e+06,NaN,NaN,9.1997e-34
-4.8047e+06,NaN,NaN,1.7682e-33
-4.7852e+06,NaN,NaN,3.397e-33
-4.7656e+06,NaN,NaN,6.5228e-33
-4.7461e+06,NaN,NaN,1.2518e-32
-4.7266e+06,NaN,NaN,2.4011e-32
-4.707e+06,NaN,NaN,4.6029e-32
-4.6875e+06,NaN,NaN,8.8191e-32
-4.668e+06,NaN,NaN,1.6888e-31
-4.6484e+06,NaN,NaN,3.232e-31
-4.6289e+06,NaN,NaN,6.182e-31
-4.6094e+06,NaN,NaN,1.1818e-30
-4.5898e+06,NaN,NaN,2.2579e-30
-4.5703e+06,NaN,NaN,4.3113e-30
-4.5508e+06,NaN,NaN,8.2276e-30
-4.5313e+06,NaN,NaN,1.5692e-29
-4.5117e+06,NaN,NaN,2.991e-29
-4.4922e+06,NaN,NaN,5.6979e-29
-4.4727e+06,NaN,NaN,1.0848e-28
-4.4531e+06,NaN,NaN,2.064e-28
-4.4336e+06,NaN,NaN,3.9248e-28
-4.4141e+06,NaN,NaN,7.4585e-28
-4.3945e+06,NaN,NaN,1.4165e-27
-4.375e+06,NaN,NaN,2.6886e-27
-4.3555e+06,NaN,NaN,5.0998e-27
-4.3359e+06,NaN,NaN,9.6673e-27
-4.3164e+06,NaN,NaN,1.8314e-26
-4.2969e+06,NaN,NaN,3.4672e-26
-4.2773e+06,NaN,NaN,6.56e-26
-4.2578e+06,NaN,NaN,1.2403e-25
-4.2383e+06,NaN,NaN,2.3436e-25
-4.2188e+06,NaN,NaN,4.4254e-25
-4.1992e+06,NaN,NaN,8.3508e-25
-4.1797e+06,NaN,NaN,1.5747e-24
-4.1602e+06,NaN,NaN,2.9675e-24
-4.1406e+06,NaN,NaN,5.5883e-24
-4.1211e+06,NaN,NaN,1.0516e-23
-4.1016e+06,NaN,NaN,1.9777e-23
-4.082e+06,NaN,NaN,3.7165e-23
-4.0625e+06,NaN,NaN,6.9792e-23
-4.043e+06,NaN,NaN,1.3097e-22
-4.0234e+06,NaN,NaN,2.4559e-22
-4.0039e+06,NaN,NaN,4.602e-22
-3.9844e+06,NaN,NaN,8.6171e-22
-3.9648e+06,NaN,NaN,1.6123e-21
-3.9453e+06,NaN,NaN,3.0145e-21
-3.9258e+06,NaN,NaN,5.6317e-21
-3.9063e+06,NaN,NaN,1.0513e-20
-3.8867e+06,NaN,NaN,1.9611e-20
-3.8672e+06,NaN,NaN,3.6554e-20
-3.8477e+06,NaN,NaN,6.8079e-20
-3.8281e+06,NaN,NaN,1.2669e-19
-3.8086e+06,NaN,NaN,2.3558e-19
-3.7891e+06,NaN,NaN,4.3769e-19
-3.7695e+06,NaN,NaN,8.1254e-19
-3.75e+06,NaN,NaN,1.5072e-18
-3.7305e+06,NaN,NaN,2.7932e-18
-3.7109e+06,NaN,NaN,5.1723e-18
-3.6914e+06,NaN,NaN,9.5694e-18
-3.6719e+06,NaN,NaN,1.7689e-17
-3.6523e+06,NaN,NaN,3.267e-17
-3.6328e+06,NaN,NaN,6.0283e-17
-3.6133e+06,NaN,NaN,1.1114e-16
-3.5938e+06,NaN,NaN,2.047e-16
-3.5742e+06,NaN,NaN,3.7667e-16
-3.5547e+06,NaN,NaN,6.9248e-16
-3.5352e+06,NaN,NaN,1.2719e-15
-3.5156e+06,NaN,NaN,2.3337e-15
-3.4961e+06,NaN,NaN,4.2778e-15
-3.4766e+06,NaN,NaN,7.8338e-15
-3.457e+06,NaN,NaN,1.4331e-14
-3.4375e+06,NaN,NaN,2.619e-14
-3.418e+06,NaN,NaN,4.7813e-14
-3.3984e+06,NaN,NaN,8.7194e-14
-3.3789e+06,NaN,NaN,1.5884e-13
-3.3594e+06,NaN,NaN,2.8904e-13
-3.3398e+06,NaN,NaN,5.2537e-13
-3.3203e+06,NaN,NaN,9.5385e-13
-3.3008e+06,NaN,NaN,1.7298e-12
-3.2813e+06,NaN,NaN,3.1332e-12
-3.2617e+06,NaN,NaN,5.6683e-12
-3.2422e+06,NaN,NaN,1.0242e-11
-3.2227e+06,NaN,NaN,1.8483e-11
-3.2031e+06,NaN,NaN,3.3312e-11
-3.1836e+06,NaN,NaN,5.9959e-11
-3.1641e+06,NaN,NaN,1.0777e-10
-3.1445e+06,NaN,NaN,1.9346e-10
-3.125e+06,NaN,NaN,3.4676e-10
-3.1055e+06,NaN,NaN,6.2065e-10
-3.0859e+06,NaN,NaN,1.1092e-09
-3.0664e+06,NaN,NaN,1.9792e-09
-3.0469e+06,NaN,NaN,3.5261e-09
-3.0273e+06,NaN,NaN,6.2717e-09
-3.0078e+06,NaN,NaN,1.1136e-08
-2.9883e+06,NaN,NaN,1.9739e-08
-2.9688e+06,NaN,NaN,3.4923e-08
-2.9492e+06,NaN,NaN,6.167e-08
-2.9297e+06,NaN,NaN,1.0869e-07
-2.9102e+06,NaN,NaN,1.9116e-07
-2.8906e+06,NaN,NaN,3.3549e-07
-2.8711e+06,NaN,NaN,5.8746e-07
-2.8516e+06,NaN,NaN,1.0262e-06
-2.832e+06,NaN,NaN,1.7882e-06
-2.8125e+06,NaN,NaN,3.1078e-06
-2.793e+06,NaN,NaN,5.3859e-06
-2.7734e+06,NaN,NaN,9.3058e-06
-2.7539e+06,NaN,NaN,1.6027e-05
-2.7344e+06,NaN,NaN,2.7507e-05
-2.7148e+06,NaN,NaN,4.7032e-05
-2.6953e+06,NaN,NaN,8.0087e-05
-2.6758e+06,NaN,NaN,0.00013576
-2.6563e+06,NaN,NaN,0.00022898
-2.6367e+06,NaN,NaN,0.00038407
-2.6172e+06,NaN,NaN,0.0006401
-2.5977e+06,NaN,NaN,0.0010591
-2.5781e+06,NaN,NaN,0.0017375
-2.5586e+06,NaN,NaN,0.0028221
-2.5391e+06,NaN,NaN,0.0045289
-2.5195e+06,NaN,NaN,0.0071623
-2.5e+06,NaN,NaN,0.011125
-2.4805e+06,NaN,NaN,0.016898
-2.4609e+06,NaN,NaN,0.024972
-2.4414e+06,NaN,NaN,0.035702
-2.4219e+06,NaN,NaN,0.049102
-2.4023e+06,NaN,NaN,0.064682
-2.3828e+06,NaN,NaN,0.081458
-2.3633e+06,NaN,NaN,0.098199
-2.3438e+06,NaN,NaN,0.1138
-2.3242e+06,NaN,NaN,0.12756
-2.3047e+06,NaN,NaN,0.13919
-2.2852e+06,NaN,NaN,0.14874
-2.2656e+06,NaN,NaN,0.15644
-2.2461e+06,NaN,NaN,0.16257
-2.2266e+06,NaN,NaN,0.16739
-2.207e+06,NaN,NaN,0.17117
-2.1875e+06,NaN,NaN,0.17411
-2.168e+06,NaN,NaN,0.17638
-2.1484e+06,NaN,NaN,0.17814
-2.1289e+06,NaN,NaN,0.1795
-2.1094e+06,NaN,NaN,0.18054
-2.0898e+06,NaN,NaN,0.18134
-2.0703e+06,NaN,NaN,0.18196
-2.0508e+06,NaN,NaN,0.18243
-2.0313e+06,NaN,NaN,0.18279
-2.0117e+06,NaN,NaN,0.18307
-1.9922e+06,NaN,NaN,0.18328
-1.9727e+06,NaN,NaN,0.18344
-1.9531e+06,NaN,NaN,0.18357
-1.9336e+06,NaN,NaN,0.18366
-1.9141e+06,NaN,NaN,0.18373
-1.8945e+06,NaN,NaN,0.18379
-1.875e+06,NaN,NaN,0.18383
-1.8555e+06,NaN,NaN,0.18387
-1.8359e+06,NaN,NaN,0.18389
-1.8164e+06,NaN,NaN,0.18391
-1.7969e+06,NaN,NaN,0.18392
-1.7773e+06,NaN,NaN,0.18394
-1.7578e+06,NaN,NaN,0.18394
-1.7383e+06,NaN,NaN,0.18395
-1.7188e+06,NaN,NaN,0.18396
-1.6992e+06,NaN,NaN,0.18396
-1.6797e+06,NaN,NaN,0.18396
-1.6602e+06,NaN,NaN,0.18396
-1.6406e+06,NaN,NaN,0.18397
-1.6211e+06,NaN,NaN,0.18397
-1.6016e+06,NaN,NaN,0.18397
-1.582e+06,NaN,NaN,0.18397
-1.5625e+06,NaN,NaN,0.18397
-1.543e+06,NaN,NaN,0.18397
-1.5234e+06,NaN,NaN,0.18397
-1.5039e+06,NaN,NaN,0.18397
-1.4844e+06,NaN,NaN,0.18397
-1.4648e+06,NaN,NaN,0.18397
-1.4453e+06,NaN,NaN,0.18397
-1.4258e+06,NaN,NaN,0.18397
-1.4063e+06,NaN,NaN,0.18397
-1.3867e+06,NaN,NaN,0.18397
-1.3672e+06,NaN,NaN,0.18397
-1.3477e+06,NaN,NaN,0.18397
-1.3281e+06,NaN,NaN,0.18397
-1.3086e+06,NaN,NaN,0.18397
-1.2891e+06,NaN,NaN,0.18397
-1.2695e+06,NaN,NaN,0.18397
-1.25e+06,NaN,NaN,0.18397
-1.2305e+06,NaN,NaN,0.18397
-1.2109e+06,NaN,NaN,0.18397
-1.1914e+06,NaN,NaN,0.18397
-1.1719e+06,NaN,NaN,0.18397
-1.1523e+06,NaN,NaN,0.18397
-1.1328e+06,NaN,NaN,0.18397
-1.1133e+06,NaN,NaN,0.18397
-1.0938e+06,NaN,NaN,0.18397
-1.0742e+06,NaN,NaN,0.18397
-1.0547e+06,NaN,NaN,0.18397
-1.0352e+06,NaN,NaN,0.18397
-1.0156e+06,NaN,NaN,0.18397
-9.9609e+05,NaN,NaN,0.18397
-9.7656e+05,NaN,NaN,0.18397
-9.5703e+05,NaN,NaN,0.18397
-9.375e+05,NaN,NaN,0.18397
-9.1797e+05,NaN,NaN,0.18397
-8.9844e+05,NaN,NaN,0.18397
-8.7891e+05,NaN,NaN,0.18397
-8.5938e+05,NaN,NaN,0.18397
-8.3984e+05,NaN,NaN,0.18397
-8.2031e+05,NaN,NaN,0.18397
-8.0078e+05,NaN,NaN,0.18397
-7.8125e+05,NaN,NaN,0.18397
-7.6172e+05,NaN,NaN,0.18397
-7.4219e+05,NaN,NaN,0.18397
-7.2266e+05,NaN,NaN,0.18397
-7.0313e+05,NaN,NaN,0.18397
-6.8359e+05,NaN,NaN,0.18397
-6.6406e+05,NaN,NaN,0.18397
-6.4453e+05,NaN,NaN,0.18397
-6.25e+05,NaN,NaN,0.18397
-6.0547e+05,NaN,NaN,0.18397
-5.8594e+05,NaN,NaN,0.18397
-5.6641e+05,NaN,NaN,0.18397
-5.4688e+05,NaN,NaN,0.18397
-5.2734e+05,NaN,NaN,0.18397
-5.0781e+05,NaN,NaN,0.18397
-4.8828e+05,NaN,NaN,0.18397
-4.6875e+05,NaN,NaN,0.18397
-4.4922e+05,NaN,NaN,0.18397
-4.2969e+05,NaN,NaN,0.18397
-4.1016e+05,NaN,NaN,0.18397
-3.9063e+05,NaN,NaN,0.18397
-3.7109e+05,NaN,NaN,0.18397
-3.5156e+05,NaN,NaN,0.18397
-3.3203e+05,NaN,NaN,0.18397
-3.125e+05,NaN,NaN,0.18397
-2.9297e+05,NaN,NaN,0.18397
-2.7344e+05,NaN,NaN,0.18397
-2.5391e+05,NaN,NaN,0.18397
-2.3438e+05,NaN,NaN,0.18397
-2.1484e+05,NaN,NaN,0.18397
-1.9531e+05,NaN,NaN,0.18397
-1.7578e+05,NaN,NaN,0.18397
-1.5625e+05,NaN,NaN,0.18397
