x,rhoTime_1e-05,rhoRate_1e-05,rho
-1e+07,NaN,NaN,8.3864e-20
-9.9805e+06,NaN,NaN,1.404e-19
-9.9609e+06,NaN,NaN,2.7053e-19
-9.9414e+06,NaN,NaN,5.5225e-19
-9.9219e+06,NaN,NaN,1.1544e-18
-9.9023e+06,NaN,NaN,2.436e-18
-9.8828e+06,NaN,NaN,5.1587e-18
-9.8633e+06,NaN,NaN,1.0937e-17
-9.8438e+06,NaN,NaN,2.3193e-17
-9.8242e+06,NaN,NaN,4.9171e-17
-9.8047e+06,NaN,NaN,1.0421e-16
-9.7852e+06,NaN,NaN,2.2076e-16
-9.7656e+06,NaN,NaN,4.6745e-16
-9.7461e+06,NaN,NaN,9.893e-16
-9.7266e+06,NaN,NaN,2.0927e-15
-9.707e+06,NaN,NaN,4.4242e-15
-9.6875e+06,NaN,NaN,9.3484e-15
-9.668e+06,NaN,NaN,1.9742e-14
-9.6484e+06,NaN,NaN,4.1667e-14
-9.6289e+06,NaN,NaN,8.789e-14
-9.6094e+06,NaN,NaN,1.8527e-13
-9.5898e+06,NaN,NaN,3.903e-13
-9.5703e+06,NaN,NaN,8.2167e-13
-9.5508e+06,NaN,NaN,1.7286e-12
-9.5313e+06,NaN,NaN,3.6339e-12
-9.5117e+06,NaN,NaN,7.6337e-12
-9.4922e+06,NaN,NaN,1.6023e-11
-9.4727e+06,NaN,NaN,3.3606e-11
-9.4531e+06,NaN,NaN,7.0423e-11
-9.4336e+06,NaN,NaN,1.4744e-10
-9.4141e+06,NaN,NaN,3.0841e-10
-9.3945e+06,NaN,NaN,6.4447e-10
-9.375e+06,NaN,NaN,1.3453e-09
-9.3555e+06,NaN,NaN,2.8054e-09
-9.3359e+06,NaN,NaN,5.8433e-09
-9.3164e+06,NaN,NaN,1.2156e-08
-9.2969e+06,NaN,NaN,2.5256e-08
-9.2773e+06,NaN,NaN,5.2403e-08
-9.2578e+06,NaN,NaN,1.0857e-07
-9.2383e+06,NaN,NaN,2.2459e-07
-9.2188e+06,NaN,NaN,4.6381e-07
-9.1992e+06,NaN,NaN,9.5612e-07
-9.1797e+06,NaN,NaN,1.9672e-06
-9.1602e+06,NaN,NaN,4.039e-06
-9.1406e+06,NaN,NaN,8.274e-06
-9.1211e+06,NaN,NaN,1.6907e-05
-9.1016e+06,NaN,NaN,3.4453e-05
-9.082e+06,NaN,NaN,6.9997e-05
-9.0625e+06,NaN,NaN,0.00014173
-9.043e+06,NaN,NaN,0.00028587
-9.0234e+06,NaN,NaN,0.0005741
-9.0039e+06,NaN,NaN,0.001147
-8.9844e+06,NaN,NaN,0.0022777
-8.9648e+06,NaN,NaN,0.0044881
-8.9453e+06,NaN,NaN,0.0087543
-8.9258e+06,NaN,NaN,0.016835
-8.9063e+06,NaN,NaN,0.031704
-8.8867e+06,NaN,NaN,0.054512
-8.8672e+06,NaN,NaN,0.077615
-8.8477e+06,NaN,NaN,0.1055
-8.8281e+06,NaN,NaN,0.13531
-8.8086e+06,NaN,NaN,0.16407
-8.7891e+06,NaN,NaN,0.18901
-8.7695e+06,NaN,NaN,0.20538
-8.75e+06,NaN,NaN,0.21502
-8.7305e+06,NaN,NaN,0.21835
-8.7109e+06,NaN,NaN,0.21746
-8.6914e+06,NaN,NaN,0.21387
-8.6719e+06,NaN,NaN,0.20938
-8.6523e+06,NaN,NaN,0.20446
-8.6328e+06,NaN,NaN,0.19977
-8.6133e+06,NaN,NaN,0.19548
-8.5938e+06,NaN,NaN,0.19188
-8.5742e+06,NaN,NaN,0.18901
-8.5547e+06,NaN,NaN,0.18673
-8.5352e+06,NaN,NaN,0.18504
-8.5156e+06,NaN,NaN,0.18383
-8.4961e+06,NaN,NaN,0.18302
-8.4766e+06,NaN,NaN,0.18255
-8.457e+06,NaN,NaN,0.18233
-8.4375e+06,NaN,NaN,0.1823
-8.418e+06,NaN,NaN,0.18239
-8.3984e+06,NaN,NaN,0.18257
-8.3789e+06,NaN,NaN,0.18278
-8.3594e+06,NaN,NaN,0.18301
-8.3398e+06,NaN,NaN,0.18323
-8.3203e+06,NaN,NaN,0.18343
-8.3008e+06,NaN,NaN,0.18361
-8.2813e+06,NaN,NaN,0.18375
-8.2617e+06,NaN,NaN,0.18386
-8.2422e+06,NaN,NaN,0.18394
-8.2227e+06,NaN,NaN,0.184
-8.2031e+06,NaN,NaN,0.18403
-8.1836e+06,NaN,NaN,0.18405
-8.1641e+06,NaN,NaN,0.18406
-8.1445e+06,NaN,NaN,0.18406
-8.125e+06,NaN,NaN,0.18405
-8.1055e+06,NaN,NaN,0.18404
-8.0859e+06,NaN,NaN,0.18403
-8.0664e+06,NaN,NaN,0.18402
-8.0469e+06,NaN,NaN,0.18401
-8.0273e+06,NaN,NaN,0.184
-8.0078e+06,NaN,NaN,0.18399
-7.9883e+06,NaN,NaN,0.18398
-7.9688e+06,NaN,NaN,0.18398
-7.9492e+06,NaN,NaN,0.18397
-7.9297e+06,NaN,NaN,0.18397
-7.9102e+06,NaN,NaN,0.18397
-7.8906e+06,NaN,NaN,0.18397
-7.8711e+06,NaN,NaN,0.18397
-7.8516e+06,NaN,NaN,0.18397
-7.832e+06,NaN,NaN,0.18397
-7.8125e+06,NaN,NaN,0.18397
-7.793e+06,NaN,NaN,0.18397
-7.7734e+06,NaN,NaN,0.18397
-7.7539e+06,NaN,NaN,0.18397
-7.7344e+06,NaN,NaN,0.18397
-7.7148e+06,NaN,NaN,0.18397
-7.6953e+06,NaN,NaN,0.18397
-7.6758e+06,NaN,NaN,0.18397
-7.6563e+06,NaN,NaN,0.18397
-7.6367e+06,NaN,NaN,0.18397
-7.6172e+06,NaN,NaN,0.18397
-7.5977e+06,NaN,NaN,0.18397
-7.5781e+06,NaN,NaN,0.18397
-7.5586e+06,NaN,NaN,0.18397
-7.5391e+06,NaN,NaN,0.18397
-7.5195e+06,NaN,NaN,0.18397
-7.5e+06,NaN,NaN,0.18397
-7.4805e+06,NaN,NaN,0.18397
-7.4609e+06,NaN,NaN,0.18397
-7.4414e+06,NaN,NaN,0.18397
-7.4219e+06,NaN,NaN,0.18397
-7.4023e+06,NaN,NaN,0.18397
-7.3828e+06,NaN,NaN,0.18397
-7.3633e+06,NaN,NaN,0.18397
-7.3438e+06,NaN,NaN,0.18397
-7.3242e+06,NaN,NaN,0.18397
-7.3047e+06,NaN,NaN,0.18397
-7.2852e+06,NaN,NaN,0.18397
-7.2656e+06,NaN,NaN,0.18397
-7.2461e+06,NaN,NaN,0.18397
-7.2266e+06,NaN,NaN,0.18397
-7.207e+06,NaN,NaN,0.18397
-7.1875e+06,NaN,NaN,0.18397
-7.168e+06,NaN,NaN,0.18397
-7.1484e+06,NaN,NaN,0.18397
-7.1289e+06,NaN,NaN,0.18397
-7.1094e+06,NaN,NaN,0.18397
-7.0898e+06,NaN,NaN,0.18397
-7.0703e+06,NaN,NaN,0.18397
-7.0508e+06,NaN,NaN,0.18397
-7.0313e+06,NaN,NaN,0.18397
-7.0117e+06,NaN,NaN,0.18397
-6.9922e+06,NaN,NaN,0.18397
-6.9727e+06,NaN,NaN,0.18397
-6.9531e+06,NaN,NaN,0.18397
-6.9336e+06,NaN,NaN,0.18397
-6.9141e+06,NaN,NaN,0.18397
-6.8945e+06,NaN,NaN,0.18397
-6.875e+06,NaN,NaN,0.18397
-6.8555e+06,NaN,NaN,0.18397
-6.8359e+06,NaN,NaN,0.18397
-6.8164e+06,NaN,NaN,0.18397
-6.7969e+06,NaN,NaN,0.18397
-6.7773e+06,NaN,NaN,0.18397
-6.7578e+06,NaN,NaN,0.18397
-6.7383e+06,NaN,NaN,0.18397
-6.7188e+06,NaN,NaN,0.18397
-6.6992e+06,NaN,NaN,0.18397
-6.6797e+06,NaN,NaN,0.18397
-6.6602e+06,NaN,NaN,0.18397
-6.6406e+06,NaN,NaN,0.18397
-6.6211e+06,NaN,NaN,0.18397
-6.6016e+06,NaN,NaN,0.18397
-6.582e+06,NaN,NaN,0.18397
-6.5625e+06,NaN,NaN,0.18397
-6.543e+06,NaN,NaN,0.18397
-6.5234e+06,NaN,NaN,0.18397
-6.5039e+06,NaN,NaN,0.18397
-6.4844e+06,NaN,NaN,0.18397
-6.4648e+06,NaN,NaN,0.18397
-6.4453e+06,NaN,NaN,0.18397
-6.4258e+06,NaN,NaN,0.18397
-6.4063e+06,NaN,NaN,0.18397
-6.3867e+06,NaN,NaN,0.18397
-6.3672e+06,NaN,NaN,0.18397
-6.3477e+06,NaN,NaN,0.18397
-6.3281e+06,NaN,NaN,0.18397
-6.3086e+06,NaN,NaN,0.18397
-6.2891e+06,NaN,NaN,0.18397
-6.2695e+06,NaN,NaN,0.18397
-6.25e+06,NaN,NaN,0.18397
-6.2305e+06,NaN,NaN,0.18397
-6.2109e+06,NaN,NaN,0.18397
-6.1914e+06,NaN,NaN,0.18397
-6.1719e+06,NaN,NaN,0.18397
-6.1523e+06,NaN,NaN,0.18397
-6.1328e+06,NaN,NaN,0.18397
-6.1133e+06,NaN,NaN,0.18397
-6.0938e+06,NaN,NaN,0.18397
-6.0742e+06,NaN,NaN,0.18397
-6.0547e+06,NaN,NaN,0.18397
-6.0352e+06,NaN,NaN,0.18397
-6.0156e+06,NaN,NaN,0.18397
-5.9961e+06,NaN,NaN,0.18397
-5.9766e+06,NaN,NaN,0.18397
-5.957e+06,NaN,NaN,0.18397
-5.9375e+06,NaN,NaN,0.18397
-5.918e+06,NaN,NaN,0.18397
-5.8984e+06,NaN,NaN,0.18397
-5.8789e+06,NaN,NaN,0.18397
-5.8594e+06,NaN,NaN,0.18397
-5.8398e+06,NaN,NaN,0.18397
-5.8203e+06,NaN,NaN,0.18397
-5.8008e+06,NaN,NaN,0.18397
-5.7813e+06,NaN,NaN,0.18397
-5.7617e+06,NaN,NaN,0.18397
-5.7422e+06,NaN,NaN,0.18397
-5.7227e+06,NaN,NaN,0.18397
-5.7031e+06,NaN,NaN,0.18397
-5.6836e+06,NaN,NaN,0.18397
-5.6641e+06,NaN,NaN,0.18397
-5.6445e+06,NaN,NaN,0.18397
-5.625e+06,NaN,NaN,0.18397
-5.6055e+06,NaN,NaN,0.18397
-5.5859e+06,NaN,NaN,0.18397
-5.5664e+06,NaN,NaN,0.18397
-5.5469e+06,NaN,NaN,0.18397
-5.5273e+06,NaN,NaN,0.18397
-5.5078e+06,NaN,NaN,0.18397
-5.4883e+06,NaN,NaN,0.18397
-5.4688e+06,NaN,NaN,0.18397
-5.4492e+06,NaN,NaN,0.18397
-5.4297e+06,NaN,NaN,0.18397
-5.4102e+06,NaN,NaN,0.18397
-5.3906e+06,NaN,NaN,0.18397
-5.3711e+06,NaN,NaN,0.18397
-5.3516e+06,NaN,NaN,0.18397
-5.332e+06,NaN,NaN,0.18397
-5.3125e+06,NaN,NaN,0.18397
-5.293e+06,NaN,NaN,0.18397
-5.2734e+06,NaN,NaN,0.18397
-5.2539e+06,NaN,NaN,0.18397
-5.2344e+06,NaN,NaN,0.18397
-5.2148e+06,NaN,NaN,0.18397
-5.1953e+06,NaN,NaN,0.18397
-5.1758e+06,NaN,NaN,0.18397
-5.1563e+06,NaN,NaN,0.18397
-5.1367e+06,NaN,NaN,0.18397
-5.1172e+06,NaN,NaN,0.18397
-5.0977e+06,NaN,NaN,0.18397
-5.0781e+06,NaN,NaN,0.18397
-5.0586e+06,NaN,NaN,0.18397
-5.0391e+06,NaN,NaN,0.18397
-5.0195e+06,NaN,NaN,0.18397
-5e+06,NaN,NaN,0.18397
