x,zetaTime_1e-05,zetaRate_1e-05,zeta
-1e+07,NaN,NaN,1.0418e-35
-9.9805e+06,NaN,NaN,1.8474e-35
-9.9609e+06,NaN,NaN,3.7764e-35
-9.9414e+06,NaN,NaN,8.1512e-35
-9.9219e+06,NaN,NaN,1.7978e-34
-9.9023e+06,NaN,NaN,3.9988e-34
-9.8828e+06,NaN,NaN,8.9238e-34
-9.8633e+06,NaN,NaN,1.9938e-33
-9.8438e+06,NaN,NaN,4.4562e-33
-9.8242e+06,NaN,NaN,9.9602e-33
-9.8047e+06,NaN,NaN,2.226e-32
-9.7852e+06,NaN,NaN,4.9739e-32
-9.7656e+06,NaN,NaN,1.1112e-31
-9.7461e+06,NaN,NaN,2.482e-31
-9.7266e+06,NaN,NaN,5.5427e-31
-9.707e+06,NaN,NaN,1.2375e-30
-9.6875e+06,NaN,NaN,2.7624e-30
-9.668e+06,NaN,NaN,6.1651e-30
-9.6484e+06,NaN,NaN,1.3756e-29
-9.6289e+06,NaN,NaN,3.0686e-29
-9.6094e+06,NaN,NaN,6.8439e-29
-9.5898e+06,NaN,NaN,1.526e-28
-9.5703e+06,NaN,NaN,3.402e-28
-9.5508e+06,NaN,NaN,7.5821e-28
-9.5313e+06,NaN,NaN,1.6895e-27
-9.5117e+06,NaN,NaN,3.7636e-27
-9.4922e+06,NaN,NaN,8.3822e-27
-9.4727e+06,NaN,NaN,1.8664e-26
-9.4531e+06,NaN,NaN,4.1547e-26
-9.4336e+06,NaN,NaN,9.2462e-26
-9.4141e+06,NaN,NaN,2.0572e-25
-9.3945e+06,NaN,NaN,4.5759e-25
-9.375e+06,NaN,NaN,1.0176e-24
-9.3555e+06,NaN,NaN,2.2622e-24
-9.3359e+06,NaN,NaN,5.0278e-24
-9.3164e+06,NaN,NaN,1.1171e-23
-9.2969e+06,NaN,NaN,2.4815e-23
-9.2773e+06,NaN,NaN,5.5105e-23
-9.2578e+06,NaN,NaN,1.2233e-22
-9.2383e+06,NaN,NaN,2.715e-22
-9.2188e+06,NaN,NaN,6.0236e-22
-9.1992e+06,NaN,NaN,1.336e-21
-9.1797e+06,NaN,NaN,2.9623e-21
-9.1602e+06,NaN,NaN,6.566e-21
-9.1406e+06,NaN,NaN,1.4549e-20
-9.1211e+06,NaN,NaN,3.2227e-20
-9.1016e+06,NaN,NaN,7.1359e-20
-9.082e+06,NaN,NaN,1.5795e-19
-9.0625e+06,NaN,NaN,3.4951e-19
-9.043e+06,NaN,NaN,7.7307e-19
-9.0234e+06,NaN,NaN,1.7093e-18
-9.0039e+06,NaN,NaN,3.7779e-18
-8.9844e+06,NaN,NaN,8.3466e-18
-8.9648e+06,NaN,NaN,1.8433e-17
-8.9453e+06,NaN,NaN,4.0691e-17
-8.9258e+06,NaN,NaN,8.9786e-17
-8.9063e+06,NaN,NaN,1.9803e-16
-8.8867e+06,NaN,NaN,4.3657e-16
-8.8672e+06,NaN,NaN,9.6201e-16
-8.8477e+06,NaN,NaN,2.1188e-15
-8.8281e+06,NaN,NaN,4.6644e-15
-8.8086e+06,NaN,NaN,1.0263e-14
-8.7891e+06,NaN,NaN,2.257e-14
-8.7695e+06,NaN,NaN,4.9606e-14
-8.75e+06,NaN,NaN,1.0897e-13
-8.7305e+06,NaN,NaN,2.3923e-13
-8.7109e+06,NaN,NaN,5.2489e-13
-8.6914e+06,NaN,NaN,1.1509e-12
-8.6719e+06,NaN,NaN,2.522e-12
-8.6523e+06,NaN,NaN,5.5226e-12
-8.6328e+06,NaN,NaN,1.2085e-11
-8.6133e+06,NaN,NaN,2.6425e-11
-8.5938e+06,NaN,NaN,5.7737e-11
-8.5742e+06,NaN,NaN,1.2605e-10
-8.5547e+06,NaN,NaN,2.7497e-10
-8.5352e+06,NaN,NaN,5.9928e-10
-8.5156e+06,NaN,NaN,1.3049e-09
-8.4961e+06,NaN,NaN,2.8386e-09
-8.4766e+06,NaN,NaN,6.1686e-09
-8.457e+06,NaN,NaN,1.3391e-08
-8.4375e+06,NaN,NaN,2.9035e-08
-8.418e+06,NaN,NaN,6.288e-08
-8.3984e+06,NaN,NaN,1.36e-07
-8.3789e+06,NaN,NaN,2.9375e-07
-8.3594e+06,NaN,NaN,6.3354e-07
-8.3398e+06,NaN,NaN,1.3642e-06
-8.3203e+06,NaN,NaN,2.9328e-06
-8.3008e+06,NaN,NaN,6.2932e-06
-8.2813e+06,NaN,NaN,1.3477e-05
-8.2617e+06,NaN,NaN,2.8802e-05
-8.2422e+06,NaN,NaN,6.1405e-05
-8.2227e+06,NaN,NaN,0.00013057
-8.2031e+06,NaN,NaN,0.00027685
-8.1836e+06,NaN,NaN,0.00058506
-8.1641e+06,NaN,NaN,0.0012315
-8.1445e+06,NaN,NaN,0.0025798
-8.125e+06,NaN,NaN,0.0053695
-8.1055e+06,NaN,NaN,0.011073
-8.0859e+06,NaN,NaN,0.022504
-8.0664e+06,NaN,NaN,0.044638
-8.0469e+06,NaN,NaN,0.084927
-8.0273e+06,NaN,NaN,0.15079
-8.0078e+06,NaN,NaN,0.24137
-7.9883e+06,NaN,NaN,0.33896
-7.9688e+06,NaN,NaN,0.41728
-7.9492e+06,NaN,NaN,0.46303
-7.9297e+06,NaN,NaN,0.48122
-7.9102e+06,NaN,NaN,0.48339
-7.8906e+06,NaN,NaN,0.47863
-7.8711e+06,NaN,NaN,0.47193
-7.8516e+06,NaN,NaN,0.4655
-7.832e+06,NaN,NaN,0.46007
-7.8125e+06,NaN,NaN,0.45576
-7.793e+06,NaN,NaN,0.45245
-7.7734e+06,NaN,NaN,0.44994
