x,zetaTime_1e-05,zetaRate_1e-05,zeta
-5e+06,NaN,NaN,3.4288e-55
-4.9805e+06,NaN,NaN,5.3145e-55
-4.9609e+06,NaN,NaN,9.437e-55
-4.9414e+06,NaN,NaN,1.783e-54
-4.9219e+06,NaN,NaN,3.4619e-54
-4.9023e+06,NaN,NaN,6.798e-54
-4.8828e+06,NaN,NaN,1.3408e-53
-4.8633e+06,NaN,NaN,2.6484e-53
-4.8438e+06,NaN,NaN,5.2333e-53
-4.8242e+06,NaN,NaN,1.0339e-52
-4.8047e+06,NaN,NaN,2.042e-52
-4.7852e+06,NaN,NaN,4.0314e-52
-4.7656e+06,NaN,NaN,7.9551e-52
-4.7461e+06,NaN,NaN,1.569e-51
-4.7266e+06,NaN,NaN,3.0933e-51
-4.707e+06,NaN,NaN,6.0953e-51
-4.6875e+06,NaN,NaN,1.2005e-50
-4.668e+06,NaN,NaN,2.3633e-50
-4.6484e+06,NaN,NaN,4.6501e-50
-4.6289e+06,NaN,NaN,9.1451e-50
-4.6094e+06,NaN,NaN,1.7976e-49
-4.5898e+06,NaN,NaN,3.5318e-49
-4.5703e+06,NaN,NaN,6.9355e-49
-4.5508e+06,NaN,NaN,1.3612e-48
-4.5313e+06,NaN,NaN,2.6704e-48
-4.5117e+06,NaN,NaN,5.2359e-48
-4.4922e+06,NaN,NaN,1.0261e-47
-4.4727e+06,NaN,NaN,2.0098e-47
-4.4531e+06,NaN,NaN,3.9345e-47
-4.4336e+06,NaN,NaN,7.6986e-47
-4.4141e+06,NaN,NaN,1.5055e-46
-4.3945e+06,NaN,NaN,2.9427e-46
-4.375e+06,NaN,NaN,5.7487e-46
-4.3555e+06,NaN,NaN,1.1224e-45
-4.3359e+06,NaN,NaN,2.1904e-45
-4.3164e+06,NaN,NaN,4.272e-45
-4.2969e+06,NaN,NaN,8.3274e-45
-4.2773e+06,NaN,NaN,1.6224e-44
-4.2578e+06,NaN,NaN,3.159e-44
-4.2383e+06,NaN,NaN,6.1476e-44
-4.2188e+06,NaN,NaN,1.1957e-43
-4.1992e+06,NaN,NaN,2.3242e-43
-4.1797e+06,NaN,NaN,4.5154e-43
-4.1602e+06,NaN,NaN,8.7673e-43
-4.1406e+06,NaN,NaN,1.7013e-42
-4.1211e+06,NaN,NaN,3.2995e-42
-4.1016e+06,NaN,NaN,6.3952e-42
-4.082e+06,NaN,NaN,1.2388e-41
-4.0625e+06,NaN,NaN,2.3983e-41
-4.043e+06,NaN,NaN,4.6402e-41
-4.0234e+06,NaN,NaN,8.9725e-41
-4.0039e+06,NaN,NaN,1.7339e-40
-3.9844e+06,NaN,NaN,3.3487e-40
-3.9648e+06,NaN,NaN,6.4632e-40
-3.9453e+06,NaN,NaN,1.2467e-39
-3.9258e+06,NaN,NaN,2.4032e-39
-3.9063e+06,NaN,NaN,4.6298e-39
-3.8867e+06,NaN,NaN,8.9135e-39
