x,zetaTime_1e-05,zetaRate_1e-05,zeta
-1e+07,NaN,NaN,1.1115e-19
-9.9805e+06,NaN,NaN,1.8612e-19
-9.9609e+06,NaN,NaN,3.5872e-19
-9.9414e+06,NaN,NaN,7.3247e-19
-9.9219e+06,NaN,NaN,1.5315e-18
-9.9023e+06,NaN,NaN,3.2326e-18
-9.8828e+06,NaN,NaN,6.8472e-18
-9.8633e+06,NaN,NaN,1.4521e-17
-9.8438e+06,NaN,NaN,3.0799e-17
-9.8242e+06,NaN,NaN,6.5315e-17
-9.8047e+06,NaN,NaN,1.3846e-16
-9.7852e+06,NaN,NaN,2.9341e-16
-9.7656e+06,NaN,NaN,6.2144e-16
-9.7461e+06,NaN,NaN,1.3156e-15
-9.7266e+06,NaN,NaN,2.7837e-15
-9.707e+06,NaN,NaN,5.887e-15
-9.6875e+06,NaN,NaN,1.2443e-14
-9.668e+06,NaN,NaN,2.6286e-14
-9.6484e+06,NaN,NaN,5.5498e-14
-9.6289e+06,NaN,NaN,1.171e-13
-9.6094e+06,NaN,NaN,2.4694e-13
-9.5898e+06,NaN,NaN,5.2041e-13
-9.5703e+06,NaN,NaN,1.096e-12
-9.5508e+06,NaN,NaN,2.3066e-12
-9.5313e+06,NaN,NaN,4.8511e-12
-9.5117e+06,NaN,NaN,1.0195e-11
-9.4922e+06,NaN,NaN,2.1409e-11
-9.4727e+06,NaN,NaN,4.4922e-11
-9.4531e+06,NaN,NaN,9.4182e-11
-9.4336e+06,NaN,NaN,1.9729e-10
-9.4141e+06,NaN,NaN,4.1288e-10
-9.3945e+06,NaN,NaN,8.6327e-10
-9.375e+06,NaN,NaN,1.8032e-09
-9.3555e+06,NaN,NaN,3.7623e-09
-9.3359e+06,NaN,NaN,7.8415e-09
-9.3164e+06,NaN,NaN,1.6324e-08
-9.2969e+06,NaN,NaN,3.3941e-08
-9.2773e+06,NaN,NaN,7.0477e-08
-9.2578e+06,NaN,NaN,1.4614e-07
-9.2383e+06,NaN,NaN,3.0257e-07
-9.2188e+06,NaN,NaN,6.2544e-07
-9.1992e+06,NaN,NaN,1.2906e-06
-9.1797e+06,NaN,NaN,2.6583e-06
-9.1602e+06,NaN,NaN,5.4645e-06
-9.1406e+06,NaN,NaN,1.1208e-05
-9.1211e+06,NaN,NaN,2.2936e-05
-9.1016e+06,NaN,NaN,4.6811e-05
-9.082e+06,NaN,NaN,9.5263e-05
-9.0625e+06,NaN,NaN,0.00019325
-9.043e+06,NaN,NaN,0.0003906
-9.0234e+06,NaN,NaN,0.0007862
-9.0039e+06,NaN,NaN,0.0015747
-8.9844e+06,NaN,NaN,0.0031352
-8.9648e+06,NaN,NaN,0.0061942
-8.9453e+06,NaN,NaN,0.01211
-8.9258e+06,NaN,NaN,0.023316
-8.9063e+06,NaN,NaN,0.04385
-8.8867e+06,NaN,NaN,0.078974
-8.8672e+06,NaN,NaN,0.1346
-8.8477e+06,NaN,NaN,0.21165
-8.8281e+06,NaN,NaN,0.30091
-8.8086e+06,NaN,NaN,0.38258
-8.7891e+06,NaN,NaN,0.44055
-8.7695e+06,NaN,NaN,0.47178
-8.75e+06,NaN,NaN,0.48322
-8.7305e+06,NaN,NaN,0.48352
-8.7109e+06,NaN,NaN,0.47886
-8.6914e+06,NaN,NaN,0.47272
-8.6719e+06,NaN,NaN,0.46675
-8.6523e+06,NaN,NaN,0.4616
-8.6328e+06,NaN,NaN,0.45735
-8.6133e+06,NaN,NaN,0.45396
-8.5938e+06,NaN,NaN,0.45131
-8.5742e+06,NaN,NaN,0.44927
-8.5547e+06,NaN,NaN,0.4477
-8.5352e+06,NaN,NaN,0.4465
-8.5156e+06,NaN,NaN,0.44559
-8.4961e+06,NaN,NaN,0.4449
-8.4766e+06,NaN,NaN,0.44438
-8.457e+06,NaN,NaN,0.444
-8.4375e+06,NaN,NaN,0.44371
-8.418e+06,NaN,NaN,0.44351
-8.3984e+06,NaN,NaN,0.44335
-8.3789e+06,NaN,NaN,0.44324
-8.3594e+06,NaN,NaN,0.44317
-8.3398e+06,NaN,NaN,0.44311
-8.3203e+06,NaN,NaN,0.44308
-8.3008e+06,NaN,NaN,0.44305
-8.2813e+06,NaN,NaN,0.44303
-8.2617e+06,NaN,NaN,0.44302
-8.2422e+06,NaN,NaN,0.44302
-8.2227e+06,NaN,NaN,0.44302
-8.2031e+06,NaN,NaN,0.44301
-8.1836e+06,NaN,NaN,0.44301
-8.1641e+06,NaN,NaN,0.44302
-8.1445e+06,NaN,NaN,0.44302
-8.125e+06,NaN,NaN,0.44302
-8.1055e+06,NaN,NaN,0.44302
-8.0859e+06,NaN,NaN,0.44302
-8.0664e+06,NaN,NaN,0.44302
-8.0469e+06,NaN,NaN,0.44302
-8.0273e+06,NaN,NaN,0.44302
-8.0078e+06,NaN,NaN,0.44302
-7.9883e+06,NaN,NaN,0.44302
-7.9688e+06,NaN,NaN,0.44302
-7.9492e+06,NaN,NaN,0.44302
